Experience_Years,Job_Position,Salary,Company_Size,Year
4,Data Analyst,34140.0,100,2022
3,Data Analyst,53322.0,1000,2022
8,Data Analyst,18000.0,100,2022
6,Data Analyst,84000.0,10,2022
17,Data Analyst,14952.0,50000,2022
19,Data Analyst,182500.0,100,2022
12,Data Analyst,195210.0,50000,2022
25,Data Analyst,37325.0,50000,2022
13,Data Analyst,44796.0,50000,2022
7,Data Analyst,65000.0,100,2022
5,Data Analyst,34929.0,1000,2022
30,Data Analyst,127972.0,100,2022
9,Data Analyst,75384.0,100,2022
17,Data Analyst,24924.0,100,2022
8,Data Analyst,19200.0,10,2022
7,Data Analyst,29860.0,10,2022
11,Data Analyst,104511.0,50000,2022
13,Data Analyst,140000.0,100000,2022
27,Data Analyst,135000.0,1000,2022
15,Data Analyst,100000.0,100,2022
24,Data Analyst,204000.0,10,2022
6,Data Analyst,97584.0,100000,2022
30,Data Analyst,117308.0,100,2022
4,Data Analyst,160000.0,100000,2022
10,Data Analyst,90000.0,1000,2022
10,Data Analyst,43620.0,10000,2022
6,Data Analyst,7476.0,100,2022
7,Data Analyst,400000.0,100000,2022
10,Data Analyst,78084.0,100,2022
15,Data Analyst,105000.0,1000,2022
13,Data Analyst,29916.0,100000,2022
40,Data Analyst,63448.0,100,2022
4,Data Analyst,100000.0,10,2022
1,Data Analyst,4475000.0,100000,2022
12,Data Analyst,48240.0,10,2022
16,Data Analyst,100000.0,50000,2022
10,Data Analyst,119357.0,100,2022
2,Data Analyst,15500.0,100000,2022
24,Data Analyst,155129.0,100000,2022
2,Data Analyst,19516.0,100000,2022
3,Data Analyst,40525.0,50000,2022
4,Data Analyst,93000.0,1000,2022
1,Data Analyst,14544.0,1000,2022
19,Data Analyst,18696.0,50000,2022
5,Data Analyst,62467.0,1000,2022
13,Data Analyst,115000.0,1000,2022
11,Data Analyst,84456.0,100,2022
14,Data Analyst,56538.0,1000,2022
20,Data Analyst,106644.0,100,2022
30,Data Analyst,271381.0,100000,2022
2,Data Analyst,21684.0,50000,2022
35,Data Analyst,155000.0,100000,2022
6,Data Analyst,77200.0,1000,2022
48,Data Analyst,265400.0,10,2022
5,Data Analyst,95541.0,50000,2022
18,Data Analyst,97605.0,100,2022
39,Data Analyst,176950.0,1000,2022
