,Experience_Years,Job_Position,Salary,Year
779,2,1,60000.0,2020
780,2,1,64800.0,2020
781,2,1,71000.0,2020
782,2,1,60000.0,2020
783,2,1,62697.0,2020
784,2,1,55000.0,2020
785,2,1,67215.0,2020
786,2,1,70000.0,2020
787,2,1,59454.0,2020
788,2,1,48644.0,2020
789,2,1,60000.0,2020
790,2,1,72642.0,2020
791,2,1,59454.0,2020
792,2,1,50000.0,2020
793,2,1,62579.0,2020
794,2,1,58264.0,2020
795,2,1,51704.0,2020
796,2,1,57000.0,2020
797,2,1,72000.0,2020
798,2,1,67000.0,2020
799,2,1,65000.0,2020
800,2,1,54049.0,2020
801,2,1,56723.0,2020
802,2,1,55130.0,2020
803,2,1,54049.0,2020
804,2,1,55224.0,2020
805,2,1,73500.0,2020
806,2,1,65000.0,2020
807,2,1,54000.0,2020
808,2,1,72000.0,2020
809,2,1,70000.0,2020
810,2,1,73491.0,2020
811,2,1,70000.0,2020
812,2,1,63228.0,2020
813,2,1,65000.0,2020
814,2,1,62366.0,2020
815,2,1,65000.0,2020
816,2,1,54945.0,2020
817,2,1,59454.0,2020
818,2,1,67215.0,2020
819,2,1,50000.0,2020
820,2,1,70264.0,2020
821,2,1,51888.0,2020
822,2,1,54455.0,2020
823,2,1,62000.0,2020
824,2,1,54049.0,2020
825,2,1,55000.0,2020
826,2,1,72000.0,2020
827,2,2,48644.0,2020
828,2,2,51888.0,2020
829,2,2,70000.0,2020
830,2,2,59454.0,2020
831,2,2,67020.0,2020
832,2,2,48644.0,2020
833,2,2,60000.0,2020
834,2,2,59454.0,2020
835,2,2,51347.0,2020
836,2,2,67861.0,2020
837,2,2,54049.0,2020
838,2,2,62579.0,2020
839,2,2,58264.0,2020
840,2,2,61140.0,2020
841,2,2,57000.0,2020
842,2,2,50806.0,2020
843,2,2,64859.0,2020
844,2,2,56723.0,2020
845,2,2,50000.0,2020
846,2,2,67000.0,2020
847,2,2,54049.0,2020
848,2,2,64737.0,2020
849,2,2,73500.0,2020
850,2,2,72000.0,2020
851,2,2,64859.0,2020
852,2,2,50806.0,2020
853,2,2,54049.0,2020
854,2,2,56120.0,2020
855,2,2,60505.0,2020
856,2,2,59454.0,2020
857,2,2,64859.0,2020
858,2,2,62366.0,2020
859,2,2,67215.0,2020
860,2,2,71211.0,2020
861,2,2,70264.0,2020
862,2,2,56788.0,2020
863,2,2,52968.0,2020
864,2,2,58000.0,2020
865,2,2,51000.0,2020
866,2,2,58373.0,2020
867,2,2,70264.0,2020
868,2,2,54049.0,2020
869,2,2,64859.0,2020
870,2,2,56723.0,2020
871,2,2,60000.0,2020
872,2,2,60505.0,2020
