YearsCodedJob,DeveloperType,Salary,CompanySize,Year
20,Data Scientist,71225.0712250712,10-100,2017
20,Data Scientist,57013.5746606335,100-1000,2017
20,Data Scientist,42500.0,1000-4999,2017
10,Data Scientist,36129.0322580645,100-1000,2017
4,Data Scientist,26881.7204301075,100-1000,2017
20,Data Scientist,45161.2903225806,10-100,2017
10,Data Scientist,33333.3333333333,10-100,2017
10,Data Scientist,53763.4408602151,10-100,2017
5,Data Scientist,115000.0,100-1000,2017
11,Data Scientist,31847.1337579618,100-1000,2017
7,Data Scientist,160000.0,10000+,2017
4,Data Scientist,34408.6021505376,1000-4999,2017
20,Data Scientist,107526.88172043,5000-9999,2017
11,Data Scientist,41401.2738853503,10-100,2017
16,Data Scientist,91000.0,10000+,2017
20,Data Scientist,75000.0,I don't know,2017
16,Data Scientist,40000.0,2-9,2017
20,Data Scientist,99715.0997150997,5000-9999,2017
5,Data Scientist,45161.2903225806,10000+,2017
20,Data Scientist,115000.0,2-9,2017
2,Data Scientist,72649.5726495727,2-9,2017
10,Data Scientist,50537.6344086021,10000+,2017
6,Data Scientist,123456.790123457,1000-4999,2017
7,Data Scientist,16150.3450300984,100-1000,2017
9,Data Scientist,77419.3548387097,10-100,2017
3,Data Scientist,9671.03703703704,100-1000,2017
8,Data Scientist,24193.5483870968,100-1000,2017
20,Data Scientist,23923.4449760766,5000-9999,2017
2,Data Scientist,1273.11827956989,10-100,2017
14,Data Scientist,51387.4614594039,10-100,2017
14,Data Scientist,72580.6451612903,5000-9999,2017
10,Data Scientist,9973.04582210243,10-100,2017
4,Data Scientist,26881.7204301075,10000+,2017
