YearsCodePro,DevType,ConvertedComp,OrgSize,Year
9,Data Analyst,22339.0,100-1000,2020
18,Data Analyst,33972.0,10-100,2020
13,Data Analyst,244000.0,10000+,2020
14,Data Analyst,36000.0,10-100,2020
12,Data Analyst,35546.0,100-1000,2020
10,Data Analyst,97500.0,10000+,2020
23,Data Analyst,100074.0,100-1000,2020
6,Data Analyst,6900.0,10-100,2020
8,Data Analyst,55836.0,100-1000,2020
15,Data Analyst,133619.0,10-100,2020
14,Data Analyst,1000000.0,1000-4999,2020
7,Data Analyst,27923.0,10-100,2020
16,Data Analyst,60129.0,2-9,2020
14,Data Analyst,41800.0,10000+,2020
5,Data Analyst,62045.0,10-100,2020
4,Data Analyst,713448.0,10-100,2020
22,Data Analyst,129720.0,100-1000,2020
20,Data Analyst,64859.0,5000-9999,2020
10,Data Analyst,77556.0,5000-9999,2020
20,Data Analyst,175000.0,10-100,2020
4,Data Analyst,64859.0,10-100,2020
3,Data Analyst,40032.0,100-1000,2020
3,Data Analyst,44100.0,100-1000,2020
12,Data Analyst,68102.0,1000-4999,2020
11,Data Analyst,45100.0,5000-9999,2020
2,Data Analyst,1680.0,10-100,2020
17,Data Analyst,116333.0,10-100,2020
6,Data Analyst,65922.0,5000-9999,2020
2,Data Analyst,9075.0,100-1000,2020
12,Data Analyst,32424.0,10-100,2020
5,Data Analyst,4944.0,10-100,2020
38,Data Analyst,120084.0,100-1000,2020
12,Data Analyst,59765.0,10000+,2020
1,Data Analyst,9773.0,10-100,2020
1,Data Analyst,15228.0,2-9,2020
17,Data Analyst,97000.0,10-100,2020
4,Data Analyst,58167.0,10-100,2020
10,Data Analyst,13962.0,10000+,2020
2,Data Analyst,45396.0,100-1000,2020
10,Data Analyst,317364.0,1000-4999,2020
4,Data Analyst,5088.0,100-1000,2020
2,Data Analyst,60000.0,1000-4999,2020
15,Data Analyst,45396.0,10000+,2020
1,Data Analyst,42804.0,10000+,2020
5,Data Analyst,13740.0,100-1000,2020
6,Data Analyst,22339.0,10-100,2020
3,Data Analyst,14280.0,10-100,2020
2,Data Analyst,22836.0,10-100,2020
4,Data Analyst,69468.0,10000+,2020
20,Data Analyst,150000.0,2-9,2020
4,Data Analyst,13176.0,100-1000,2020
10,Data Analyst,12240.0,2-9,2020
12,Data Analyst,33510.0,10-100,2020
20,Data Analyst,25944.0,10-100,2020
15,Data Analyst,56211.0,5000-9999,2020
2,Data Analyst,34591.0,1000-4999,2020
10,Data Analyst,21276.0,1000-4999,2020
24,Data Analyst,18876.0,10000+,2020
3,Data Analyst,324300.0,10-100,2020
34,Data Analyst,122736.0,5000-9999,2020
10,Data Analyst,54480.0,10-100,2020
13,Data Analyst,137.0,100-1000,2020
13,Data Analyst,38916.0,10-100,2020
13,Data Analyst,13212.0,100-1000,2020
3,Data Analyst,10380.0,10000+,2020
3,Data Analyst,15000.0,2-9,2020
8,Data Analyst,118908.0,10-100,2020
10,Data Analyst,224823.0,2-9,2020
12,Data Analyst,91883.0,100-1000,2020
10,Data Analyst,25980.0,2-9,2020
11,Data Analyst,18372.0,100-1000,2020
1,Data Analyst,12996.0,10000+,2020
2,Data Analyst,72642.0,10-100,2020
6,Data Analyst,54049.0,10000+,2020
3,Data Analyst,21620.0,10-100,2020
2,Data Analyst,10380.0,10-100,2020
31,Data Analyst,77831.0,10-100,2020
6,Data Analyst,23782.0,100-1000,2020
4,Data Analyst,38448.0,100-1000,2020
4,Data Analyst,51704.0,1,2020
2,Data Analyst,36762.0,10000+,2020
2,Data Analyst,41363.0,100-1000,2020
1,Data Analyst,18228.0,10000+,2020
12,Data Analyst,75669.0,10000+,2020
10,Data Analyst,3132.0,10-100,2020
20,Data Analyst,81074.0,10-100,2020
22,Data Analyst,60505.0,1,2020
4,Data Analyst,63778.0,1000-4999,2020
2,Data Analyst,38916.0,10-100,2020
6,Data Analyst,79632.0,100-1000,2020
20,Data Analyst,84312.0,10-100,2020
2,Data Analyst,59454.0,100-1000,2020
1,Data Analyst,3960.0,100-1000,2020
25,Data Analyst,70264.0,10000+,2020
10,Data Analyst,75669.0,100-1000,2020
2,Data Analyst,22056.0,10-100,2020
7,Data Analyst,92964.0,5000-9999,2020
