YearsCodingProf,DevType,ConvertedSalary,CompanySize,Year
20,Data Analyst,159104.0,1000-4999,2018
8,Data Analyst,103000.0,1000-4999,2018
2,Data Analyst,70000.0,10-100,2018
5,Data Analyst,54000.0,100-1000,2018
8,Data Analyst,73084.0,100-1000,2018
2,Data Analyst,3384.0,Fewer than 10 employees,2018
5,Data Analyst,3792.0,100-1000,2018
29,Data Analyst,88119.0,10000+,2018
2,Data Analyst,533388.0,Fewer than 10 employees,2018
8,Data Analyst,16644.0,10-100,2018
2,Data Analyst,3756.0,100-1000,2018
5,Data Analyst,8610.0,100-1000,2018
8,Data Analyst,23580.0,1000-4999,2018
20,Data Analyst,48876.0,100-1000,2018
8,Data Analyst,12348.0,10000+,2018
2,Data Analyst,73433.0,10000+,2018
5,Data Analyst,55075.0,10-100,2018
11,Data Analyst,21228.0,10-100,2018
